Date,Year,Month,Day,Tair-max,Tair-min,RHmax,RHmin,U3,Rain,Radiation,ET0
4/1/2005,2005,4,1,14.043,-0.46757,94.8995,26.615,3.726173229,0,270.03,3.5
4/2/2005,2005,4,2,21.38525,-2.43655,80.62625,24.9055,4.418590625,0,260.49,5
4/3/2005,2005,4,3,26.46425,3.787025,80.24875,17.611,3.51036375,0,213.55,5.6
4/4/2005,2005,4,4,25.69525,3.56275,91.20725,32.29275,4.692696875,0,265.72,5.6
4/5/2005,2005,4,5,19.946,10.7065,99.021,66.42975,5.287589583,19.05586,80.13,2.2
4/6/2005,2005,4,6,17.994,8.15995,84.0635,45.047,9.342520833,0,196.18,4.3
4/7/2005,2005,4,7,19.041,3.770325,90.8755,26.3435,3.311812813,0,284.95,4.3
4/8/2005,2005,4,8,17.53025,1.57005,98.43175,46.4875,5.713808333,0,223.64,3.5
4/9/2005,2005,4,9,23.08025,9.7406,89.16875,45.168,5.767394792,0,249.15,4.8
4/10/2005,2005,4,10,14.05175,7.1212,100,87.43325,4.621919792,27.23344,35.24,0.7
4/11/2005,2005,4,11,11.90325,4.29425,100,82.11675,6.44506875,0.25149,90.43,1.2
4/12/2005,2005,4,12,10.157875,2.9278,94.22525,73.10975,7.052319792,0,116.98,1.6
4/13/2005,2005,4,13,14.83275,4.5993,100,67.941,4.095875,0,100.04,1.8
4/14/2005,2005,4,14,18.24975,1.18863,94.73825,40.81425,4.009104167,0,277.58,3.9
4/15/2005,2005,4,15,21.63725,8.255975,89.037,47.67475,4.332264583,0.50333,173.94,3.8
4/16/2005,2005,4,16,22.27675,7.876875,95.454,51.034,2.865084375,0,226.62,3.7
4/17/2005,2005,4,17,26.5695,9.726275,98.698,38.76825,5.242245833,0,259.83,5.6
4/18/2005,2005,4,18,22.291,13.02575,95.87275,58.514,5.522818646,0.25149,105.59,3.1
4/19/2005,2005,4,19,27.52625,14.8345,97.35725,42.60225,5.7262875,0,253.48,5.7
4/20/2005,2005,4,20,23.413,11.84075,97.15875,62.0025,5.304702083,0.25149,208.74,3.7
4/21/2005,2005,4,21,20.5675,8.151875,98.23875,39.66425,5.172808021,1.51073,211.07,4.2
4/22/2005,2005,4,22,12.573,3.7827,100,49.515,10.35557083,7.57578,298.92,3.3
4/23/2005,2005,4,23,13.4475,-0.87629,89.571,26.6765,4.567921875,0,317.72,4
4/24/2005,2005,4,24,15.28275,-1.2485925,88.84675,25.4755,2.261672708,0,305.71,3.7
4/25/2005,2005,4,25,14.00875,3.410725,95.12175,28.75425,5.443413542,0,196.88,3.6
