DAP,Sim,Obs,Trt,Year
1,0,,0,2009
2,0,,0,2009
3,0,,0,2009
4,0,,0,2009
5,0,,0,2009
6,0,,0,2009
7,0,,0,2009
8,0,,0,2009
9,0,,0,2009
10,0,,0,2009
11,0,,0,2009
12,0,,0,2009
13,0.5,,0,2009
14,0.6,,0,2009
15,0.7,,0,2009
16,0.8,,0,2009
17,0.9,,0,2009
18,1.1,,0,2009
19,1.2,,0,2009
20,1.4,,0,2009
21,1.6,,0,2009
22,1.8,,0,2009
23,2,,0,2009
24,2.3,,0,2009
25,2.5,,0,2009
26,2.8,,0,2009
27,2.8,,0,2009
28,3.1,,0,2009
29,3.4,,0,2009
30,3.9,,0,2009
31,4.4,,0,2009
32,4.9,,0,2009
33,5.6,,0,2009
34,6.4,,0,2009
35,7.2,,0,2009
36,8,,0,2009
37,8.9,,0,2009
38,9.9,,0,2009
39,11.2,,0,2009
40,12.9,,0,2009
41,14.7,,0,2009
42,16.8,,0,2009
43,19,,0,2009
44,21.8,,0,2009
45,24.9,,0,2009
46,28.5,,0,2009
47,32.7,35,0,2009
48,37.4,,0,2009
49,42.8,,0,2009
50,49,,0,2009
51,55.2,,0,2009
52,60.5,,0,2009
53,65.2,,0,2009
54,69.3,,0,2009
55,72.8,79,0,2009
56,76,,0,2009
57,78.7,,0,2009
58,81.1,,0,2009
59,83.1,,0,2009
60,84.9,,0,2009
61,86.5,,0,2009
62,87.9,80,0,2009
63,89.1,,0,2009
64,90.1,,0,2009
65,91,,0,2009
66,91.8,,0,2009
67,92.4,,0,2009
68,92.9,,0,2009
69,93.3,90,0,2009
70,93.6,,0,2009
71,94.1,,0,2009
72,94.4,,0,2009
73,94.6,,0,2009
74,94.8,,0,2009
75,94.7,,0,2009
76,94.7,95,0,2009
77,94.6,,0,2009
78,94.5,,0,2009
79,94.4,,0,2009
80,94.2,,0,2009
81,94.1,,0,2009
82,93.9,,0,2009
83,93.7,,0,2009
84,93.5,94,0,2009
85,93.2,,0,2009
86,92.9,,0,2009
87,92.6,,0,2009
88,92.4,,0,2009
89,92.1,,0,2009
90,91.7,,0,2009
91,91.3,92,0,2009
92,91.2,,0,2009
93,91.2,,0,2009
94,91.3,,0,2009
95,91.3,,0,2009
96,91.2,,0,2009
97,91,,0,2009
98,90.8,,0,2009
99,90.6,,0,2009
100,90.3,,0,2009
101,90,90.4,0,2009
102,89.7,,0,2009
103,89.4,,0,2009
104,89.1,,0,2009
105,88.9,90,0,2009
106,88.4,,0,2009
107,88,,0,2009
108,87.6,,0,2009
109,87.2,,0,2009
110,86.6,,0,2009
111,86.1,,0,2009
112,85.4,88.8,0,2009
113,84.8,,0,2009
114,84.1,,0,2009
115,83.4,,0,2009
116,82.6,,0,2009
117,81.8,,0,2009
118,80.9,77,0,2009
119,80,,0,2009
120,78.9,,0,2009
121,77.8,,0,2009
122,76.6,,0,2009
123,75.2,,0,2009
124,73.8,,0,2009
125,73.5,,0,2009
126,73.2,,0,2009
127,72.9,74,0,2009
128,72.6,,0,2009
129,72.2,,0,2009
130,71.8,,0,2009
131,71.4,,0,2009
132,71,,0,2009
133,70.5,,0,2009
134,70,,0,2009
